,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
MRC1,1.0,-0.24314,0.000e+00,-0.020300,0.000e+00,1.896e-75,4.327e-80,71.930,0.0003301,0.87861,8.165e-08
SAS2,1.0,-0.17165,4.373e-07,-0.129072,7.598e-07,6.666e-39,3.977e-42,35.384,0.0005570,0.05288,2.440e-07
SIF2,1.0,-0.21554,3.240e-06,-0.060228,2.092e-06,2.055e-32,6.267e-35,28.896,0.0013679,0.09444,3.881e-06
TIF4631,1.0,-0.22345,6.342e-07,-0.079111,4.791e-07,2.244e-31,5.945e-35,27.857,0.0003467,0.06474,7.150e-07
SNT1,1.0,-0.21447,2.243e-06,-0.059894,1.328e-06,1.586e-28,2.733e-31,25.008,0.0008225,0.08980,2.226e-06
SAS4,1.0,-0.17685,1.124e-06,-0.077446,9.875e-07,7.223e-27,6.141e-30,23.350,0.0006223,0.08550,1.156e-06
CKB1,1.0,-0.13551,2.108e-07,-0.013755,8.433e-09,3.138e-24,4.786e-28,20.712,0.0003366,0.90910,1.020e-06
RIM1,1.0,-0.18314,1.529e-06,-0.083908,1.664e-06,1.427e-23,1.930e-26,20.054,0.0004869,0.12893,3.011e-06
PAT1,1.0,-0.21267,1.059e-07,-0.094908,9.068e-08,9.304e-23,5.355e-27,19.240,0.0003424,0.06630,7.379e-08
IRE1,1.0, 0.20756,4.175e-06, 0.047844,1.630e-06,6.633e-21,1.307e-23,17.387,0.0009196,0.11159,4.396e-06
USA1,1.0,-0.18570,2.894e-06,-0.031184,1.124e-06,1.484e-20,3.080e-23,17.037,0.0009654,0.06196,2.473e-06
UBP6,1.0, 0.18426,6.899e-07, 0.046726,4.309e-07,6.685e-20,3.004e-23,16.383,0.0003814,0.06791,6.630e-07
TIP41,1.0, 0.17400,8.693e-07, 0.036194,5.078e-07,1.483e-19,1.013e-22,16.037,0.0002277,0.08670,1.366e-06
SBP1,1.0,-0.15507,2.440e-07,-0.064473,5.277e-07,1.940e-19,4.704e-23,15.921,0.0003488,0.05781,7.304e-07
SET1,1.0,-0.16236,5.164e-08,-0.049069,1.958e-08,2.908e-19,4.280e-24,15.745,0.0003301,0.12217,1.101e-07
NPR2,1.0,-0.16815,8.165e-08,-0.037562,2.944e-08,6.702e-19,2.778e-23,15.382,0.0003304,0.06200,5.164e-08
STP1,1.0,-0.15732,0.000e+00,-0.090066,4.849e-08,1.371e-18,2.633e-23,15.071,0.0003325,0.10559,8.756e-08
UBP8,1.0,-0.17505,6.749e-08,-0.028438,1.578e-08,1.918e-17,5.518e-22,13.925,0.0003303,0.13532,1.033e-07
MKK2,1.0, 0.16547,5.164e-08, 0.027585,1.567e-08,3.058e-17,6.546e-22,13.723,0.0003278,0.11158,9.487e-08
KIN82,1.0,-0.17611,5.322e-07,-0.026347,1.654e-07,7.489e-17,1.330e-20,13.334,0.0002759,0.12109,1.186e-06
RIM11,1.0, 0.16148,1.027e-06, 0.036521,5.005e-07,2.096e-16,8.277e-20,12.887,0.0003746,0.09511,2.165e-06
RTF1,1.0,-0.19864,1.382e-06,-0.077201,1.420e-06,2.543e-16,1.837e-19,12.803,0.0004528,0.07596,1.737e-06
ZAP1,1.0,-0.14442,9.972e-07,-0.053479,8.065e-07,4.204e-16,2.686e-19,12.585,0.0004355,0.12526,2.368e-06
IBA57,1.0,-0.15163,3.773e-07,-0.080638,5.111e-07,7.828e-16,1.495e-19,12.315,0.0002741,0.14972,1.517e-06
UBP16,1.0, 0.15182,7.906e-07, 0.035173,4.438e-07,9.777e-16,2.449e-19,12.218,0.0003496,0.09902,2.319e-06
PDR3,1.0, 0.16339,1.897e-07, 0.028416,1.644e-07,1.189e-15,3.162e-21,12.133,0.0003323,0.05472,8.762e-07
NUP133,1.0,-0.14423,7.394e-07,-0.064131,6.875e-07,1.698e-15,7.392e-19,11.978,0.0004613,0.12063,1.815e-06
LSM6,1.0,-0.18932,8.718e-06,-0.050435,3.325e-06,2.233e-15,6.685e-18,11.859,0.0015673,0.12524,8.338e-06
SLX8,1.0,-0.15353,7.071e-08,-0.062798,6.111e-08,3.341e-15,1.720e-19,11.684,0.0003236,0.07657,7.071e-08
RAD26,1.0,-0.14616,2.066e-07,-0.041983,4.112e-07,3.985e-15,6.209e-19,11.608,0.0003681,0.06616,1.268e-06
YLR278C,1.0, 0.14417,9.814e-07, 0.030142,4.550e-07,6.664e-15,3.849e-18,11.385,0.0004119,0.09280,1.472e-06
CHK1,1.0, 0.14536,2.256e-06, 0.038221,1.286e-06,1.033e-14,1.078e-17,11.194,0.0006938,0.11971,5.861e-06
JNM1,1.0,-0.13312,5.164e-08,-0.032842,1.897e-08,1.321e-14,2.497e-19,11.087,0.0003300,0.09299,1.033e-07
RME1,1.0, 0.13022,1.047e-06, 0.033862,4.387e-07,1.456e-14,7.236e-18,11.045,0.0005084,0.06000,7.015e-07
GEP3,1.0,-0.14115,1.824e-06,-0.062200,1.229e-06,4.513e-14,3.839e-17,10.554,0.0004950,0.19463,3.764e-06
PTC4,1.0, 0.13431,5.673e-07, 0.040721,5.938e-07,6.006e-14,2.914e-17,10.430,0.0003844,0.05185,7.394e-07
PEX4,1.0, 0.16007,5.164e-08, 0.049209,4.165e-08,6.469e-14,1.862e-18,10.398,0.0003373,0.07376,6.992e-08
IRC3,1.0,-0.13883,1.519e-06,-0.046561,6.991e-07,7.022e-14,3.822e-17,10.362,0.0005023,0.20663,4.086e-06
BUR2,1.0,-0.15448,4.830e-08,-0.069169,3.048e-08,7.432e-14,9.969e-19,10.337,0.0003301,0.16613,1.287e-07
YPT7,1.0, 0.09699,7.775e-07, 0.043489,8.061e-07,9.627e-14,7.261e-17,10.225,0.0004762,0.05524,7.166e-07
RSC2,1.0,-0.15143,6.667e-08,-0.072683,4.149e-08,1.270e-13,2.312e-18,10.105,0.0003325,0.12202,1.160e-07
CKB2,1.0,-0.09887,1.897e-07,-0.012269,3.162e-09,2.955e-13,2.941e-17, 9.738,0.0003664,0.90998,8.892e-07
RTR1,1.0, 0.10212,7.947e-07, 0.010029,3.795e-08,8.474e-13,3.194e-16, 9.280,0.0003708,0.89580,3.272e-06
SAM3,1.0,-0.13559,2.148e-06,-0.033994,1.114e-06,8.876e-13,8.327e-16, 9.260,0.0003902,0.12061,5.053e-06
PUF3,1.0, 0.09484,4.830e-08, 0.026040,1.064e-07,1.021e-12,1.707e-16, 9.199,0.0003037,0.09602,7.409e-07
YLH47,1.0, 0.13126,0.000e+00, 0.042854,1.767e-08,1.182e-12,7.888e-18, 9.136,0.0003324,0.06923,5.676e-08
SUS1,1.0,-0.13191,4.743e-07,-0.041154,5.476e-07,1.198e-12,3.019e-16, 9.130,0.0002583,0.12037,3.027e-06
YTA7,1.0,-0.13123,9.359e-07,-0.065305,8.793e-07,1.782e-12,6.925e-16, 8.957,0.0003734,0.13090,2.377e-06
HIR2,1.0,-0.12814,2.846e-07,-0.022058,1.116e-07,2.676e-12,5.187e-17, 8.781,0.0003253,0.08029,1.192e-06
