"","cor","beta","pval_beta","adjp_beta","ratio"
"LSM7"," 0.2144627"," 0.03273703","6.81622e-28","24.43086","0.875191"
"RGT2"," 0.1599261"," 0.01240693","1.15098e-20","17.20333","0.949814"
"SIR3"," 0.1462494"," 0.01486765","6.26524e-17","13.46746","0.937122"
"BMH1","-0.1403003","-0.01856717","2.30695e-15","11.90136","0.936891"
"UBR2","-0.1479522","-0.01619755","4.34279e-14","10.62663","0.674665"
"LSM1"," 0.1404796"," 0.02482942","8.37780e-14","10.34127","0.948342"
"ATG10"," 0.1393440"," 0.01105311","1.20820e-13","10.18226","0.870875"
"LSM6"," 0.1484681"," 0.02607414","3.01347e-13"," 9.78533","0.859609"
"SRO9","-0.1266409","-0.02140880","2.61566e-12"," 8.84682","0.889150"
"RCE1","-0.1222395","-0.01119696","2.08896e-11"," 7.94447","0.795385"
"KDX1"," 0.1369068"," 0.00830147","2.33369e-11"," 7.89636","0.819086"
"SET2","-0.1261088","-0.01603694","4.07479e-11"," 7.65430","0.886923"
"SSN3","-0.1173385","-0.02804752","8.05660e-11"," 7.35825","0.899951"
"SIR4"," 0.1138929"," 0.01200654","8.59371e-11"," 7.33022","0.948427"
"GRR1","-0.1290901","-0.03175008","9.78612e-11"," 7.27379","0.836795"
"MUD2","-0.1115543","-0.00957286","1.11439e-10"," 7.21736","0.893951"
"TIP41","-0.1152971","-0.00999381","1.56413e-10"," 7.07013","0.946261"
"PAT1"," 0.1177587"," 0.02419592","2.03434e-10"," 6.95598","0.946816"
"EUG1"," 0.1103594"," 0.01043042","8.96180e-10"," 6.31201","0.926176"
"RCY1","-0.1118388","-0.02182620","1.07838e-09"," 6.23163","0.856562"
"VPS27","-0.1142163","-0.01310225","1.14332e-09"," 6.20623","0.923945"
"GAT2"," 0.1068945"," 0.00524073","1.51658e-09"," 6.08354","0.934244"
"URE2","-0.1049751","-0.01170306","1.98434e-09"," 5.96679","0.918728"
"NPL6","-0.1112311","-0.02354227","2.76061e-09"," 5.82340","0.775766"
"RPL16A"," 0.1103789"," 0.01426922","2.93971e-09"," 5.79610","0.808020"
"SRB8","-0.1040850","-0.02024249","4.85484e-09"," 5.57823","0.905160"
"SWA2","-0.1085324","-0.02538242","6.03286e-09"," 5.48388","0.804714"
"RAD5"," 0.1027917"," 0.01381561","6.31400e-09"," 5.46410","0.940506"
"IOC2"," 0.1020424"," 0.00969958","1.16778e-08"," 5.19704","0.935308"
"KIN3"," 0.0992607"," 0.01127603","1.29471e-08"," 5.15223","0.942234"
"TEC1"," 0.0983744"," 0.00663728","2.15870e-08"," 4.93021","0.935149"
"THP1","-0.1087334","-0.02599401","2.21915e-08"," 4.91821","0.844535"
"TUP1","-0.1017103","-0.02018948","2.66676e-08"," 4.83842","0.847405"
"SRV2","-0.1012982","-0.02565288","3.20102e-08"," 4.75911","0.853773"
"MEI5"," 0.1036884"," 0.00726982","3.33488e-08"," 4.74132","0.878478"
"CAF130","-0.1008766","-0.00986526","3.38712e-08"," 4.73457","0.940598"
"NUP60","-0.1007567","-0.01435711","4.11904e-08"," 4.64961","0.891385"
"REG1","-0.1048713","-0.02510722","4.96192e-08"," 4.56875","0.866841"
"RCM1"," 0.1004855"," 0.01466533","5.40688e-08"," 4.53145","0.936238"
"PFK1","-0.1012073","-0.01351788","6.04421e-08"," 4.48306","0.860927"
"GCR2","-0.0952427","-0.01339059","8.20243e-08"," 4.35046","0.863902"
"FKS1","-0.0923792","-0.01371259","9.16344e-08"," 4.30234","0.862538"
"NOP6","-0.0992733","-0.00781324","1.13690e-07"," 4.20868","0.909692"
"NPR2","-0.0943749","-0.00588929","1.66504e-07"," 4.04298","0.934352"
"HDA2","-0.0922591","-0.00861330","2.08222e-07"," 3.94588","0.916250"
"SAC3","-0.0918524","-0.01719017","2.85187e-07"," 3.80927","0.899725"
"CLB5"," 0.0914697"," 0.00964891","3.10806e-07"," 3.77191","0.914463"
"CMK2","-0.0834521","-0.00686984","3.25590e-07"," 3.75173","0.925163"
"RTG3","-0.0868524","-0.00840856","3.39138e-07"," 3.73402","0.920645"
"CST6","-0.0957479","-0.02596668","4.63796e-07"," 3.59807","0.873463"
"VPS15","-0.0906625","-0.01975410","6.93907e-07"," 3.42310","0.868856"
"GSY2","-0.0961751","-0.00716856","6.99738e-07"," 3.41947","0.908757"
