,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.899025590583322,-0.00525823198352624,-0.000584416905365504,0.130663664192629,0.100974409416678,0.0945067445329024,-0.0317432787362434,0.787031599479257,Y
OPI3,0.745293081967068,-0.0170093337402361,0.00391504589706365,0.362867173499613,0.254706918032932,0.41812873654703,-0.0726313108362183,1.0761154093475,Y
CHO2,0.152762043561518,0.50611839963329,-0.0444150460173577,0.928143904819774,0.847237956438482,-0.00576354197863234,-0.00069039211102473,0.278433748202589,Y
CTK1,0.275814185664449,0.155435257766666,-0.019436906054045,0.802437230747145,0.724185814335551,-0.0380318766567839,0.00161467425528683,0.273954323573821,Y
ELP3,0.066361905349141,-0.0259411155123084,-0.0302285049885236,0.594058064710666,0.933638094650859,0.00521510169055224,4.44740633123438e-05,0.159848574386665,Y
NUP133,0.120630939806917,0.398976765735313,-0.0641310361059909,0.624001712926286,0.879369060193083,-0.0181136127217556,0.0010667617681171,0.196010680213836,Y
CTF8,0.103078740590224,0.0764922975514851,-0.00219627220984025,0.325533181923637,0.896921259409776,0.000195299394016144,-0.00708125949717422,0.0857197677617502,Y
DOA4,0.834167753033728,-0.0147285619714767,0.00300647486488246,0.162069671676178,0.165832246966272,0.26107417247405,-0.0205058901613164,0.489679673402404,Y
BRE2,0.0979507675094461,0.0476249262268809,-0.0445933095885099,0.521875908512868,0.902049232490554,-0.00115247343656215,-0.00032352035361385,0.140962454816374,Y
SWD1,0.105649650774051,0.0877594929253101,-0.0232518593223877,0.499695683140626,0.894350349225949,-0.00396420441387556,-0.00241422861268819,0.147495107080993,Y
SPP1,0.0992291209576189,-0.108772519168528,0.0223483484503412,0.326130263253012,0.900770879042381,0.00489130803861276,0.00317368780617101,0.112760400284283,Y
SET1,0.877828532592123,-0.0134906826071827,-0.00502484686919196,0.150112226305067,0.122171467407877,0.183347902215011,-0.0490694274120619,0.427307559414835,Y
HFI1,0.8101685841316,0.0156659994473301,-0.00300946496098087,0.251591860322465,0.1898314158684,-0.185944082477876,-0.0208110598990305,0.869260987166992,Y
SWD3,0.119011575285673,0.159391257774758,-0.0322268636141121,0.536363011664836,0.880988424714327,-0.00936191123477114,-0.000579082121414968,0.158575445908465,Y
SDC1,0.118035585169323,0.0309938087201363,-0.0309169605288128,0.425187314503219,0.881964414830677,-0.000897642620333069,0.00165058285910141,0.139225594051239,Y
BIM1,0.129177927258953,0.173596818715719,-0.00940303907312522,0.345007244262994,0.870822072741047,-0.0102767880352898,-0.00194826737769208,0.0975690523645364,Y
BUD13,0.138398913185748,-0.0839646510282716,0.0207740067323093,0.399770054859095,0.861601086814252,0.00283783684889372,0.00299611340019694,0.139390330590607,Y
BRR1,0.847746878890559,0.00162868149649159,0.00192016784585557,0.0821156463259657,0.152253121109441,-0.0635119523499382,-0.00565540954616142,0.301475678215791,Y
BUD22,0.126278485129811,-0.0436766413315151,0.0114634848790451,0.463799125553385,0.873721514870189,0.0053409174924142,0.000261023085173834,0.157600526205787,Y
BUD20,0.116441026363577,0.121895865665866,-0.00784151235829353,0.377435701540604,0.883558973636423,-0.000363285483336145,0.00135346474441677,0.101933201458579,Y
IBA57,0.850275519080699,-0.00643604380476969,0.0010698427794295,0.203428680814901,0.149724480919301,0.266494574151425,-0.0806378076453413,0.759736172822009,Y
CAR2,0.0592875090929698,0.120727967445421,-0.0135285841994023,0.554122218618513,0.94071249090703,-0.00558634654246087,-0.00169803844853417,0.0843192590593581,Y
SRV2,0.826620418465361,-0.044353386305879,0.00510302763333653,0.260607794896876,0.173379581534639,0.683602492368139,-0.0521699475053794,0.868767787208572,Y
BUD21,0.0843696840425693,-0.0341831350271142,0.0180481502593385,0.481648058531459,0.915630315957431,0.00117477776125045,0.00069420691664702,0.113683001159811,Y
CCE1,0.762716863381425,-0.00301096719437708,0.00175402350502512,0.113686202210391,0.237283136618575,0.0977591746179074,-0.0280898653068025,0.361244811449694,Y
CDC40,0.151409746631174,-0.111371616819795,0.0131200511625469,0.63569074767205,0.848590253368826,0.00130720734605692,0.0084973978648075,0.215978284620008,Y
SSN3,0.877012713930763,-0.0115938931865831,0.00262116467167265,0.234498564295835,0.122987286069237,0.630762724977945,-0.0943396555451568,1.1027476135911,Y
CGR1,0.0751877434648681,0.0765831661813666,0.00991482516486006,0.461846171994927,0.924812256535132,0.00127840316480605,-0.000203642955267812,0.101770788549491,Y
CHL1,0.110170970050288,0.103285141649552,0.00294700989651787,0.218806231453826,0.889829029949712,-0.00919612736749629,-0.001082931371653,0.0650242979578494,Y
CGI121,0.885307095656347,0.000330460505953166,-0.000278166536482637,0.1366107876175,0.114692904343653,-0.00853288445899486,0.0312202602589855,0.443059607303212,Y
CIN8,0.158544993141507,0.150701002969909,-0.000497450338981142,0.339679895883907,0.841455006858493,-0.0140894140294873,-0.000961311342141817,0.0966402172936744,Y
CKB1,0.0908964250747872,-0.195500882873995,-0.020280404170621,0.53681771187995,0.909103574925213,0.00162466369063699,-0.013754568281571,0.105828452383424,Y
CKA2,0.876747670095364,-0.0104775895353301,-0.00139199218594273,0.11967397922625,0.123252329904636,0.169661546833658,-0.0143363495254414,0.567604100256446,Y
CLB5,0.104788394695889,0.11894081185483,-0.0200163136208562,0.328931635083969,0.895211605304111,-0.00533947973760381,-0.0158890241507898,0.101647437367204,Y
CLB2,0.884155759630528,-0.00119428056218593,-0.00120828857608703,0.0745493362074652,0.115844240369472,0.0094111304894244,0.00347865368910934,0.297934899633356,Y
CKB2,0.0900162668159876,-0.211690535916511,-0.0243545242550239,0.608083911541252,0.909983733184012,0.00267156905481846,-0.0122688366517408,0.131817256574624,Y
CLA4,0.0641690639558475,0.0217242856754945,-0.00677425281340044,0.39821606358464,0.935830936044152,-0.000937029124855382,-0.00128824732632129,0.0776627317681661,Y
