,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2,conv
VPS25,0.11264969753145,0.0367011908995691,-0.0254154797952713,0.645066375455207,0.88735030246855,-0.00604591087635948,-0.00081559241897991,0.132539575228948,Y
OPI3,0.178255964745717,0.535478971222333,0.0345020423404271,1.18466161440279,0.821744035254283,-0.0386280012786671,-0.0359235024466823,0.420932244849776,Y
CHO2,0.12159476279934,0.620984908634075,0.0701612206013983,0.988555833991639,0.87840523720066,-0.013878929531815,-0.00780271464067197,0.304316681641382,Y
CTK1,0.249004486088986,0.0300385359583226,-0.0756503143631167,0.767454063004571,0.750995513911014,-0.0429245338994397,-0.010544590538957,0.267484908351799,Y
ELP3,0.0360075969393607,-0.129470274777458,-0.0364310625134106,0.709202161133407,0.963992403060639,0.00496039352323311,-0.00211588573480001,0.176376043102798,Y
NUP133,0.907695952470116,-0.0253266790148642,-0.015935096788148,0.199012436562387,0.0923040475298839,0.411990605404496,0.0708534586111188,0.69581291400349,Y
CTF8,0.123492862902881,0.0529429003321403,0.00870178935022693,0.274152482014171,0.876507137097119,-0.00574336126470932,0.00128267577042635,0.0855596556348519,Y
DOA4,0.844294659543048,-0.0179667383097226,0.0107834542946699,0.166856687486281,0.155705340456952,0.200420687207018,-0.0129032070974358,0.48279214416517,Y
BRE2,0.935011312895103,-0.00159424071076187,-0.00486600772299504,0.14539436478108,0.0649886871048966,-0.0384734968206809,-0.0670516915998375,0.587806475053367,Y
SWD1,0.0460394761758125,0.0354550093226635,-0.120008169295778,0.627458096823507,0.953960523824188,-0.00720799596203747,-0.00821992556871094,0.15769161281207,Y
SPP1,0.93352064402705,0.00802146818684792,-0.0085164911420475,0.119904716287398,0.0664793559729499,-0.1662496718658,-0.0300902050484644,0.336910674455625,Y
SET1,0.942773010244525,-0.0146555691039137,-0.0112366387253186,0.157604026672878,0.0572269897554746,0.207775715851205,-0.11545853646303,0.493693774586005,Y
HFI1,0.161802986660619,-0.301667931401134,0.055156306362555,0.910928000703454,0.838197013339381,0.0136473400954585,-0.000881470211693883,0.260382808738102,Y
SWD3,0.0622714673665111,0.136837036316298,-0.113075112811648,0.616329852524469,0.937728532633489,-0.0137832368114385,-0.00571085257465592,0.165880796907668,Y
SDC1,0.934605931968992,-0.00163636798770647,-0.00441997572616168,0.148330805327767,0.0653940680310075,-0.0355551877187331,-0.0939272813083522,0.481878564821045,Y
BIM1,0.0908230877729522,0.196741604669722,0.013995862725235,0.410052833642409,0.909176912227048,-0.0154088853956699,0.00443252999507505,0.104561965344646,Y
BUD13,0.121919244335139,-0.107411348903595,-0.0336097633526454,0.394493925882717,0.878080755664861,9.0951054862555e-06,0.00747865122596119,0.141394449646641,Y
BRR1,0.178830289489702,-0.0483958851181153,-0.0204948133562604,0.266598693669085,0.821169710510298,-0.0020050347558862,-0.00227482293045805,0.0815492487433555,Y
BUD22,0.939109638236456,0.00375389144500398,-0.00912189525507379,0.17348864979697,0.0608903617635436,-0.130785977115385,-0.080517530160344,0.580961354172761,Y
BUD20,0.103687979587251,0.139862217735371,-0.00359228412387782,0.388641900101288,0.896312020412749,-0.000924724836393475,0.00263935913199524,0.111234219758749,Y
IBA57,0.872984520138111,-0.0178723086392472,0.00390058132763353,0.219515868116367,0.127015479861889,0.234355399253244,-0.0479349982356061,0.764462941148224,Y
CAR2,0.0602658616318448,0.0927674905632764,0.0249749613253411,0.470727984446916,0.939734138368155,-0.00957692258125965,0.0025746043305096,0.0845584095051457,Y
SRV2,0.853605494270124,-0.0543145612727609,-0.0249016864911252,0.26644347724535,0.146394505729876,0.72016130061272,0.0515521283630286,0.926286591458303,Y
BUD21,0.0634299547150689,-0.0455616899812094,-0.0219720778832326,0.562649195602134,0.936570045284931,-0.000999500950431994,-0.00279616949476479,0.119705180797869,Y
CCE1,0.783909171516463,-0.0054652264918434,-0.00311319647433738,0.127688997873047,0.216090828483537,0.097586440743462,0.00209996380966198,0.37958410953175,Y
CDC40,0.123997914386384,-0.188037955809805,-0.0222184071459471,0.63559975496108,0.876002085613616,-0.00812269620335527,0.0170784197883081,0.23826229520866,Y
SSN3,0.899764078389363,-0.0113310884057998,-0.0274786121027161,0.248505448424556,0.100235921610637,0.681920272214166,0.0465126721680649,1.13186586830773,Y
CGR1,0.929874481137923,-0.0022558418485055,-0.0016195488317848,0.109915055934975,0.070125518862077,0.0964597162443829,0.0217628639701308,0.435619644285685,Y
CHL1,0.898104621057292,-0.00896820674069631,0.000623580274047147,0.0669381656569134,0.101895378942708,0.0906713964346822,0.00475187683597969,0.225651748493884,Y
CGI121,0.882286098500263,-0.00278923485704221,-0.0103598087276599,0.136185691105519,0.117713901499737,0.00309006264664752,-0.014949065180201,0.382544540656845,Y
CIN8,0.137352202489387,0.144603035994248,0.0108017121694287,0.351156785331772,0.862647797510613,-0.0169427792631745,-5.68245799323794e-05,0.100500233513824,Y
CKB1,0.0667171496988714,-0.252029564180382,0.0368443696551033,0.594989660121877,0.933282850301129,-0.00431288612164963,0.00245954370186151,0.111896858900941,Y
CKA2,0.895270162036688,-0.0118905480142152,-0.00243479081608168,0.127555609242977,0.104729837963312,0.203504174033161,0.0649917859071053,0.643138971875971,Y
CLB5,0.0853636193373713,0.152217777488316,0.0196032062747515,0.356037504591544,0.914636380662629,-0.0135193468829018,0.0101532817383928,0.108806601647774,Y
CLB2,0.925463940381221,-0.00562605537674045,0.00761170612164426,0.0825067006684427,0.0745360596187791,0.00541839179808503,0.0227733340266485,0.372278841586208,Y
CKB2,0.0787940569722387,-0.220912435159715,-0.00307630250862845,0.549591356381112,0.921205943027761,-0.00336175817020874,0.0011013878647902,0.133950267493541,Y
CLA4,0.0423532873371083,0.0749695099076081,-0.0175880959987317,0.513624952354893,0.957646712662892,-0.00231740774572042,0.00161471563046231,0.0820911639350173,Y
CLB1,0.9204883639015,-0.000330545186758365,0.00108828560021908,0.0823774111184852,0.0795116360984999,-0.150077157333225,-0.0112442999805289,0.406263713199322,Y
CLN3,0.209068057561158,0.0448253825048726,-0.00473907701703376,0.246526427574831,0.790931942438842,-0.0112036963599092,-0.00806855857609139,0.0967130533330755,Y
CLN2,0.956534443068678,-0.00413519648622451,0.00325843961647171,0.0595341010267343,0.0434655569313221,0.059820228278405,-0.0192578847825881,0.370049397215524,Y
CSM1,0.0613162164078332,0.457040640036867,0.0564532392927626,0.564417534180811,0.938683783592167,-0.00343260687349047,-0.000347795874228675,0.0991649433353817,Y
